ChEMBL,text,labels
CHEMBL4113488,COCCCOc1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)nc2ccccc12,1
CHEMBL4114121,COCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccccc21,1
CHEMBL31268,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCN(C)CC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,1
CHEMBL3633110,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)Cc2ccc(OC)cc2)C(C)C)C(C)C)ccc1OC.Cl,1
CHEMBL3142330,COC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](COCc1cccnc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,1
CHEMBL111144,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCNC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCC(N(C)C)CC1)C(=O)NCc1cnc(C)nc1N,1
CHEMBL3143459,CC(C)CCC(=O)NCC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cncn1C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,1
CHEMBL49864,CC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC(C)C,1
CHEMBL2016937,O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1cc(-c2ccc(F)cc2Cl)no1,1
CHEMBL2017106,CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c1Cl,1
CHEMBL46344,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(C)N[C@H](Cc1ccccc1)C(=O)N1CCOCC1,1
CHEMBL3142283,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,1
CHEMBL56095,CC(C)[C@@H](O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1cc2ccccc2c(O)n1,1
CHEMBL94539,COc1ccc(C[C@H](NC(=O)[C@H]2CC[C@@H](N)CC2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)cc1,1
CHEMBL417905,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCOCC1)C(C)C,1
CHEMBL1088290,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)CCNC1)N(Cc1cccc(Cl)c1Cl)C1CC1,1
CHEMBL1076444,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CCC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,1
CHEMBL1076443,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2COC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,1
CHEMBL405700,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN3CCNCC3)C(C)C)nnc12,1
CHEMBL1093285,COCCCc1ccc(Cl)c(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,1
CHEMBL1269751,COC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCc3cc(-c4c(F)ccc(F)c4Cl)no3)cc2)C2CC2)c1,1
CHEMBL281436,COc1ccc(C[C@H](NC(=O)C(C)C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@H](CC2CCCCC2)[C@H](O)[C@H](O)CN=[N+]=[N-])cc1,1
CHEMBL418305,CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN)c1,1
CHEMBL496224,CCOCCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,1
CHEMBL30968,CO[C@@H](CC(C)C)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)c1ccccc1,1
CHEMBL88415,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NC[C@@H](C)CC,1
CHEMBL99989,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN)C(C)C,1
CHEMBL3144525,CC(C)CCNC(=O)[C@@](C)(O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,1
CHEMBL299605,CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCN1CCCC1,1
CHEMBL4130109,COCCCCc1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)ncn1-c1ccccc1,1
CHEMBL76896,CCCc1nc(-c2ccccc2)cn2c(CC(=O)N[C@@H](CC3CCCCC3)C(O)C3CCCCC3)nnc12,1
CHEMBL285779,c1ccc(COCCCOc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccc(OCCN5CCOCC5)cc4c3)cc2)cc1,1
CHEMBL286413,c1ccc(COCCCOc2ccc([C@H]3[C@H](CSc4ccncc4)CNC[C@@H]3OCc3ccc4ccccc4c3)cc2)cc1,1
CHEMBL304446,CSC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)P(=O)(OCc1ccccc1)OCc1ccccc1,1
CHEMBL3142807,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)OC,1
CHEMBL292726,COP(=O)(OC)C(O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,1
CHEMBL281153,C/N=C(\S)NCC#CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)[C@@H](O)CC(=O)N1CCOC(CCN)C1,1
CHEMBL299252,COC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,1
CHEMBL1269699,COCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,1
CHEMBL57268,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)c1ccccn1,1
CHEMBL31956,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,1
CHEMBL291900,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cccc(CN=C(N)N)c1,1
